entry,year,tobacco_prod
BO,1990,935
BO,1989,925
BO,1988,895
BO,1987,863
BO,1986,917
BO,1985,975
BO,1984,1126
BO,1983,1179
BO,1982,1105
BO,1981,1395
BO,1980,1825
BO,1979,1640
BO,1978,1775
BO,1977,2270
BO,1976,2230
BO,1975,2569
BO,1974,2970
BO,1973,2470
BO,1972,2100
BO,1971,1900
BO,1970,1400
BO,1969,1150
BO,1968,990
BO,1967,900
BO,1966,880
BO,1965,836
BO,1964,900
BO,1963,896
BO,1962,875
BO,1961,800
BA,2016,2315
BA,2015,2196
BA,2014,1812
BA,2013,1812
BA,2012,1494
BA,2011,1835
BA,2010,1854
BA,2009,2424
BA,2008,3098
BA,2007,3265
BA,2006,3916
BA,2005,4421
BA,2004,4246
BA,2003,3279
BA,2002,5173
BA,2001,3673
BA,2000,3277
BA,1999,4092
BA,1998,4566
BA,1997,2600
BA,1996,2e3
BA,1995,2145
BA,1994,2e3
BA,1993,3437
BA,1992,3e3
BR,2016,675545
BR,2015,867355
BR,2014,862396
BR,2013,850673
BR,2012,810550
BR,2011,951933
BR,2010,787817
BR,2009,863079
BR,2008,851058
BR,2007,908679
BR,2006,900381
BR,2005,889426
BR,2004,921281
BR,2003,656200
BR,2002,670309
BR,2001,568505
BR,2000,579727
BR,1999,629525
BR,1998,505353
BR,1997,596952
BR,1996,476638
BR,1995,455986
BR,1994,519541
BR,1993,655739
BR,1992,575652
BR,1991,413831
BR,1990,445489
BR,1989,443869
BR,1988,427900
BR,1987,395645
BR,1986,385136
BR,1985,410474
BR,1984,413598
BR,1983,392578
BR,1982,420329
BR,1981,365738
BR,1980,404860
BR,1979,421708
BR,1978,405191
BR,1977,356999
BR,1976,298645
BR,1975,285934
BR,1974,296175
BR,1973,234280
BR,1972,263168
BR,1971,244172
BR,1970,244e3
BR,1969,250224
BR,1968,258019
BR,1967,242817
BR,1966,228284
BR,1965,248182
BR,1964,210427
BR,1963,206806
BR,1962,187040
BR,1961,167839
BG,2016,15211
BG,2015,23480
BG,2014,29996
BG,2013,36446
BG,2012,28060
BG,2011,40607
BG,2010,41056
BG,2009,51322
BG,2008,42424
BG,2007,41130
BG,2006,41956
BG,2005,58336
BG,2004,69569
BG,2003,61539
BG,2002,62250
BG,2001,57818
BG,2000,32296
BG,1999,34475
BG,1998,38692
BG,1997,61299
BG,1996,39788
BG,1995,18803
BG,1994,32715
BG,1993,44859
BG,1992,65947
BG,1991,72403
BG,1990,76542
BG,1989,81061
BG,1988,116065
BG,1987,133098
BG,1986,126122
BG,1985,126028
BG,1984,140789
BG,1983,111963
BG,1982,148985
BG,1981,132952
BG,1980,122291
BG,1979,159292
BG,1978,139469
BG,1977,117536
BG,1976,165094
BG,1975,161931
BG,1974,144903
BG,1973,141477
BG,1972,158128
BG,1971,119852
BG,1970,121906
BG,1969,96221
BG,1968,115448
BG,1967,118095
BG,1966,132207
BG,1965,122993
BG,1964,149553
BG,1963,105161
BG,1962,106745
BG,1961,55866
BF,2016,818
BF,2015,796
BF,2014,896
BF,2013,850
BF,2012,800
BF,2011,744
BF,2010,688
BF,2009,632
BF,2008,572
BF,2007,525
BF,2006,500
BF,2005,550
BF,2004,583
BF,2003,586
BF,2002,573
BF,2001,546
BF,2000,500
BF,1999,445
BF,1998,400
BF,1997,392
BF,1996,424
BF,1995,500
BF,1994,700
BF,1993,970
BF,1992,950
BF,1991,930
BF,1990,922
BF,1989,802
BF,1988,652
BF,1987,581
BF,1986,619
BF,1985,705
BF,1984,1e3
BF,1983,1200
BF,1982,1200
BF,1981,1200
BF,1980,1100
BF,1979,1e3
BF,1978,950
BF,1977,900
BF,1976,850
BF,1975,800
BF,1974,700
BF,1973,800
BF,1972,800
BF,1971,800
BF,1970,800
BF,1969,800
BF,1968,800
BF,1967,464
BF,1966,500
BF,1965,400
BF,1964,400
BF,1963,350
BF,1962,350
BF,1961,350
BI,2016,1368
BI,2015,1330
BI,2014,1295
BI,2013,1262
BI,2012,1228
BI,2011,1168
BI,2010,1347
BI,2009,1209
BI,2008,1028
BI,2007,800
BI,2006,770
BI,2005,1100
BI,2004,900
BI,2003,683
BI,2002,641
BI,2001,893
BI,2000,762
BI,1999,367
BI,1998,200
BI,1997,475
BI,1996,600
BI,1995,600
BI,1994,1360
BI,1993,4100
BI,1992,4200
BI,1991,4100
BI,1990,4e3
BI,1989,4e3
BI,1988,4e3
BI,1987,4e3
BI,1986,3700
BI,1985,3600
BI,1984,3e3
BI,1983,3500
BI,1982,3400
BI,1981,3400
BI,1980,3400
BI,1979,3e3
BI,1978,2500
BI,1977,1600
BI,1976,1600
BI,1975,1600
BI,1974,1600
BI,1973,1590
BI,1972,1e3
BI,1971,1e3
BI,1970,586
BI,1969,800
BI,1968,1e3
BI,1967,1300
BI,1966,1500
BI,1965,1300
BI,1964,1e3
BI,1963,700
BI,1962,600
BI,1961,600
KH,2016,14362
KH,2015,14044
KH,2014,13751
KH,2013,13505
KH,2012,13132
KH,2011,13445
KH,2010,14625
KH,2009,13486
KH,2008,17404
KH,2007,13644
KH,2006,14231
KH,2005,14143
KH,2004,2479
KH,2003,7601
KH,2002,4692
KH,2001,4662
KH,2000,7665
KH,1999,6358
KH,1998,10144
KH,1997,10493
KH,1996,9620
KH,1995,11079
KH,1994,12e3
KH,1993,4980
KH,1992,8900
KH,1991,8800
KH,1990,7800
KH,1989,5900
KH,1988,5800
KH,1987,6600
KH,1986,6100
KH,1985,5600
KH,1984,5e3
KH,1983,5e3
KH,1982,4500
KH,1981,4500
KH,1980,4500
KH,1979,4200
KH,1978,6e3
KH,1977,7300
KH,1976,7300
KH,1975,7300
KH,1974,7300
KH,1973,5100
KH,1972,8900
KH,1971,8900
KH,1970,9700
KH,1969,16300
KH,1968,13700
KH,1967,11800
KH,1966,10100
KH,1965,10500
KH,1964,10500
KH,1963,6900
KH,1962,6500
KH,1961,5661
CM,2016,6298
CM,2015,6146
CM,2014,5995
CM,2013,5843
CM,2012,5692
CM,2011,5540
CM,2010,5389
CM,2009,5237
CM,2008,5085
CM,2007,5156
CM,2006,4780
CM,2005,4500
CM,2004,4465
CM,2003,4500
CM,2002,4465
CM,2001,4323
CM,2000,4700
CM,1999,4700
CM,1998,2e3
CM,1997,1700
CM,1996,2e3
CM,1995,3e3
CM,1994,2500
CM,1993,2056
CM,1992,2e3
CM,1991,1493
CM,1990,155
CM,1989,844
CM,1988,2e3
CM,1987,1674
CM,1986,3271
CM,1985,1627
CM,1984,2200
CM,1983,1814
CM,1982,1783
CM,1981,2068
CM,1980,1918
CM,1979,1962
CM,1978,3297
CM,1977,2809
CM,1976,3082
CM,1975,2980
CM,1974,3094
CM,1973,3300
CM,1972,3541
CM,1971,4216
CM,1970,4344
CM,1969,3527
CM,1968,4858
CM,1967,3798
CM,1966,3764
CM,1965,2082
CM,1964,2160
CM,1963,2978
CM,1962,2764
CM,1961,2584
CA,2016,20369
CA,2015,22557
CA,2014,24841
CA,2013,27105
CA,2012,29399
CA,2011,31648
CA,2010,33964
CA,2009,36664
CA,2008,38829
CA,2007,44e3
CA,2006,43057
CA,2005,43e3
CA,2004,42430
CA,2003,46338
CA,2002,54550
CA,2001,58606
CA,2000,53010
CA,1999,70215
CA,1998,73178
CA,1997,76204
CA,1996,70151
CA,1995,74219
CA,1994,70140
CA,1993,77476
CA,1992,65640
CA,1991,78704
CA,1990,63057
CA,1989,75573
CA,1988,58341
CA,1987,61388
CA,1986,67515
CA,1985,96672
CA,1984,89400
CA,1983,111715
CA,1982,70205
CA,1981,112369
CA,1980,107868
CA,1979,78851
CA,1978,115614
CA,1977,104273
CA,1976,81497
CA,1975,106053
CA,1974,116476
CA,1973,116715
CA,1972,84747
CA,1971,102040
CA,1970,100635
CA,1969,112248
CA,1968,99249
CA,1967,96658
CA,1966,106223
CA,1965,76602
CA,1964,69587
CA,1963,91237
CA,1962,92091
CA,1961,95127
CF,2016,510
CF,2015,512
CF,2014,514
CF,2013,516
CF,2012,518
CF,2011,519
CF,2010,521
CF,2009,523
CF,2008,525
CF,2007,522
CF,2006,503
CF,2005,480
CF,2004,475
CF,2003,519
CF,2002,475
CF,2001,600
CF,2000,652
CF,1999,570
CF,1998,525
CF,1997,498
CF,1996,500
CF,1995,650
CF,1994,650
CF,1993,500
CF,1992,700
CF,1991,600
CF,1990,501
CF,1989,431
CF,1988,553
CF,1987,624
CF,1986,1076
CF,1985,1098
CF,1984,753
CF,1983,700
CF,1982,1200
CF,1981,1e3
CF,1980,1189
CF,1979,1799
CF,1978,1972
CF,1977,2753
CF,1976,2442
CF,1975,1876
CF,1974,1603
CF,1973,1372
CF,1972,1117
CF,1971,1081
CF,1970,1029
CF,1969,973
CF,1968,816
CF,1967,873
CF,1966,765
CF,1965,700
CF,1964,470
CF,1963,400
CF,1962,400
CF,1961,450
TD,2016,182
TD,2015,183
TD,2014,183
TD,2013,183
TD,2012,184
TD,2011,184
TD,2010,184
TD,2009,183
TD,2008,187
TD,2007,190
TD,2006,186
TD,2005,184
TD,2004,180
TD,2003,180
TD,2002,180
TD,2001,180
TD,2000,184
TD,1999,210
TD,1998,205
TD,1997,198
TD,1996,192
TD,1995,191
TD,1994,191
TD,1993,191
TD,1992,192
TD,1991,192
TD,1990,183
TD,1989,200
TD,1988,200
TD,1987,200
TD,1986,200
TD,1985,200
TD,1984,200
TD,1983,200
TD,1982,210
TD,1981,210
TD,1980,220
TD,1979,220
TD,1978,210
TD,1977,200
TD,1976,200
TD,1975,172
TD,1974,135
TD,1973,143
TD,1972,222
TD,1971,93
TD,1970,16
CL,2016,7561
CL,2015,7274
CL,2014,6362
CL,2013,7934
CL,2012,7554
CL,2011,7554
CL,2010,7950
CL,2009,5626
CL,2008,6214
CL,2007,8341
CL,2006,8349
CL,2005,9850
CL,2004,9321
CL,2003,7713
CL,2002,6976
CL,2001,7382
CL,2000,10521
CL,1999,11789
CL,1998,11679
CL,1997,11117
CL,1996,10999
CL,1995,12159
CL,1994,16007
CL,1993,19636
CL,1992,16498
CL,1991,15409
CL,1990,14412
CL,1989,10545
CL,1988,10425
CL,1987,8271
CL,1986,7849
CL,1985,7770
CL,1984,8135
CL,1983,5750
CL,1982,5655
CL,1981,5901
CL,1980,14412
CL,1979,7508
CL,1978,9422
CL,1977,8697
CL,1976,7673
CL,1975,8354
CL,1974,5362
CL,1973,3778
CL,1972,5449
CL,1971,6406
CL,1970,8532
CL,1969,6015
CL,1968,9405
CL,1967,7386
CL,1966,4930
CL,1965,5900
CL,1964,7090
CL,1963,5600
CL,1962,7370
CL,1961,7586
CN,2016,2806770
CN,2015,2833989
CN,2014,2997050
CN,2013,3375400
CN,2012,3408142
CN,2011,3158737
CN,2010,3005928
CN,2009,3067928
CN,2008,2839947
CN,2007,2397152
CN,2006,2746193
CN,2005,2685743
CN,2004,2411490
CN,2003,2262658
CN,2002,2454105
CN,2001,2358842
CN,2000,2563854
CN,1999,2478295
CN,1998,2373978
CN,1997,4261283
CN,1996,3245230
CN,1995,2326685
CN,1994,2256526
CN,1993,3468428
CN,1992,3514954
CN,1991,3051686
CN,1990,2645610
CN,1989,2848837
CN,1988,2754206
CN,1987,1967005
CN,1986,1731464
CN,1985,2450207
CN,1984,1815491
CN,1983,1403322
CN,1982,2204570
CN,1981,1519718
CN,1980,919747
CN,1979,962876
CN,1978,1264129
CN,1977,1011695
CN,1976,996433
CN,1975,978109
CN,1974,1001713
CN,1973,967883
CN,1972,856417
CN,1971,801808
CN,1970,805800
CN,1969,796109
CN,1968,868844
CN,1967,865935
CN,1966,804254
CN,1965,616301
CN,1964,569379
CN,1963,497413
CN,1962,436077
CN,1961,395854
CO,2016,22371
CO,2015,25904
CO,2014,28600
CO,2013,22604
CO,2012,22267
CO,2011,17838
CO,2010,10760
CO,2009,9953
CO,2008,21176
CO,2007,18109
CO,2006,20557
CO,2005,34940
CO,2004,32486
CO,2003,34458
CO,2002,26475
CO,2001,26158
CO,2000,27767
CO,1999,26057
CO,1998,30235
CO,1997,23319
CO,1996,30412
CO,1995,26e3
CO,1994,26905
CO,1993,34321
CO,1992,27908
CO,1991,34338
CO,1990,32989
CO,1989,33710
CO,1988,35700
CO,1987,34870
CO,1986,28574
CO,1985,27237
CO,1984,34599
CO,1983,47800
CO,1982,48700
CO,1981,50400
CO,1980,45400
CO,1979,59600
CO,1978,45900
CO,1977,57300
CO,1976,68300
CO,1975,57600
CO,1974,41100
CO,1973,39700
CO,1972,36100
CO,1971,39300
CO,1970,42e3
CO,1969,44500
CO,1968,43e3
CO,1967,42500
CO,1966,44250
CO,1965,40190
CO,1964,41395
CO,1963,41771
CO,1962,38213
CO,1961,27884
CG,2016,472
CG,2015,464
CG,2014,470
CG,2013,463
CG,2012,450
CG,2011,440
