"entry","year","no_report","sum_art05","sum_art06","sum_art08","sum_art11","sum_art13","sum_art14"
"QA","2016",0,5,5,6,13,10,32
"QA","2018",0,5,5,7,13,10,29
"KR","2014",0,5,6,7,9,7,34
"KR","2016",0,5,8,7,13,7,40
"KR","2018",0,5,8,7,13,7,40
"MD","2014",0,5,3,4,9,12,25
"MD","2016",0,6,3,5,13,9,13
"MD","2018",0,6,5,5,14,9,13
"RO","2014",0,3,6,4,9,7,19
"RO","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"RO","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"RU","2014",0,3,4,5,8,9,15
"RU","2016",0,4,5,4,14,10,6
"RU","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"RW","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"RW","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"RW","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"KN","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"KN","2016",0,0,0,1,0,0,0
"KN","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"LC","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"LC","2016",0,4,0,0,<NA>,0,7
"LC","2018",0,4,3,6,15,1,15
"VC","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"VC","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"VC","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"WS","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"WS","2016",0,5,3,3,12,9,11
"WS","2018",0,5,4,5,13,9,11
"SM","2014",0,4,1,2,0,3,6
"SM","2016",0,4,1,3,0,3,2
"SM","2018",0,4,1,3,0,3,2
"ST","2014",0,3,1,2,0,0,19
"ST","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"ST","2018",0,4,1,3,11,4,1
"SA","2014",0,4,3,3,13,6,18
"SA","2016",0,5,4,3,14,11,26
"SA","2018",0,5,7,5,14,9,27
"SN","2014",0,4,2,4,11,9,8
"SN","2016",0,6,3,4,13,10,9
"SN","2018",0,6,6,5,13,10,11
"RS","2014",0,5,6,4,7,6,17
"RS","2016",0,4,5,4,8,6,21
"RS","2018",0,4,5,4,8,6,22
"SC","2014",0,4,4,4,14,12,14
"SC","2016",0,5,5,4,13,11,16
"SC","2018",0,5,5,4,14,12,18
"SL","2014",0,3,0,3,1,0,0
"SL","2016",0,3,2,1,0,0,0
"SL","2018",0,3,3,1,0,0,0
"SG","2014",0,5,5,5,13,8,36
"SG","2016",0,5,6,5,14,10,38
"SG","2018",0,5,6,5,14,10,38
"SK","2014",0,5,4,5,11,11,26
"SK","2016",0,4,7,5,9,5,19
"SK","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"SI","2014",0,6,4,3,10,9,25
"SI","2016",0,6,5,4,11,10,26
"SI","2018",0,6,5,4,11,13,25
"SB","2014",0,5,3,4,15,6,6
"SB","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"SB","2018",0,6,4,6,13,5,11
"ZA","2014",0,4,4,4,8,5,11
"ZA","2016",0,4,5,4,8,5,12
"ZA","2018",0,4,5,4,9,4,12
"ES","2014",0,6,5,5,11,11,33
"ES","2016",0,6,6,5,11,11,39
"ES","2018",0,6,6,5,12,11,39
"LK","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"LK","2016",0,4,0,3,14,2,0
"LK","2018",0,6,7,4,14,7,19
"SD","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"SD","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"SD","2018",0,5,2,0,2,10,18
"SR","2014",0,6,5,7,13,8,26
"SR","2016",0,6,7,4,15,10,24
"SR","2018",0,5,6,4,15,10,24
"SZ","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"SZ","2016",0,4,2,2,3,5,8
"SZ","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"SE","2014",0,4,6,7,8,8,26
"SE","2016",0,4,6,7,8,8,27
"SE","2018",0,4,6,7,10,8,27
"SY","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"SY","2016",0,6,1,5,10,10,9
"SY","2018",0,6,0,5,11,10,9
"TJ","2014",0,4,4,3,15,3,14
"TJ","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"TJ","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"TH","2014",0,6,7,4,14,11,31
"TH","2016",0,6,8,4,15,12,34
"TH","2018",0,6,8,6,15,12,34
"MK","2014",0,3,5,5,11,17,13
"MK","2016",0,3,6,3,13,8,24
"MK","2018",0,3,6,4,13,8,24
"TL","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"TL","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"TL","2018",0,5,4,5,13,10,32
"TG","2014",0,4,3,5,15,13,2
"TG","2016",0,4,4,5,12,13,0
"TG","2018",0,4,4,5,12,13,0
"TO","2014",0,4,6,6,11,6,26
"TO","2016",0,4,7,4,14,11,25
"TO","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"TT","2014",0,4,4,4,14,10,19
"TT","2016",0,6,6,4,13,11,31
"TT","2018",0,6,6,4,13,10,32
"TN","2014",0,6,5,5,11,6,29
"TN","2016",0,6,7,6,11,6,33
"TN","2018",0,6,7,6,11,6,33
"TR","2014",0,5,4,4,13,11,25
"TR","2016",0,5,5,4,12,12,28
"TR","2018",0,5,5,4,12,9,28
"TM","2014",0,5,4,5,12,10,24
"TM","2016",0,4,4,5,9,11,23
"TM","2018",0,5,5,4,10,10,22
"TV","2014",0,3,1,4,4,9,12
"TV","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"TV","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"UG","2014",0,5,2,4,6,1,2
"UG","2016",0,4,3,4,7,1,2
"UG","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"UA","2014",0,3,4,6,12,7,6
"UA","2016",0,3,1,6,11,5,5
"UA","2018",0,1,2,6,11,5,6
"AE","2014",0,4,1,5,14,11,30
"AE","2016",0,5,1,5,13,8,16
"AE","2018",0,5,3,6,14,8,28
<NA>,"2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
<NA>,"2016",0,6,5,4,12,11,33
<NA>,"2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"TZ","2014",0,2,1,2,0,0,14
"TZ","2016",0,2,0,2,8,4,0
"TZ","2018",0,2,1,2,8,4,0
"UY","2014",0,4,5,4,13,13,23
"UY","2016",0,4,6,4,13,10,23
"UY","2018",0,4,6,4,13,10,21
"UZ","2014",0,3,4,4,10,9,15
"UZ","2016",0,4,3,5,8,4,12
"UZ","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"VU","2014",0,7,3,6,15,11,4
"VU","2016",0,2,4,5,10,9,6
"VU","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"VE","2014",0,5,5,3,13,12,35
"VE","2016",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"VE","2018",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"VN","2014",0,6,7,4,14,7,6
"VN","2016",0,4,8,6,13,7,14
"VN","2018",0,4,8,4,12,7,15
"YE","2014",0,4,1,6,15,7,5
"YE","2016",0,4,5,6,13,7,9
"YE","2018",0,4,5,6,13,7,9
"ZM","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"ZM","2016",0,6,3,4,8,7,25
"ZM","2018",0,6,3,4,8,7,25
"ZW","2014",1,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
"ZW","2016",0,3,4,4,9,2,27
"ZW","2018",0,4,4,4,9,5,30
