"entry","ego_number","countrycode","year","continent","who_region","who_pac_sea","population","labor","democracy","GL_total","tobac_prod","GDP","womens_rights","number_ngos","perc_female_smoke","perc_male_smoke","diag_inb_fctc","time","who_reg2","GL_any","toa_year_fctc","toa_month_fctc","toa_year_corrupt","toa_month_corrupt","toa_year_pollute","toa_month_pollute","toa_year_picc","toa_month_picc","meanall","meanallart","meanallart50","year_ratification","year_signature","pol_shift_left","pol_shift_right","pol_shift","signature","ratification","no_report","sum_art05","sum_art06","sum_art08","sum_art11","sum_art13","bloomberg_count","bloomberg_amount","bloomberg_fctc_count","bloomberg_fctc_amount","govtown","country_name","Europe","Asia","America","Africa","Pacific","European","Eastern Mediterranean","Americas","African","Western Pacific","South-East Asia","Years since Ratif.","Years since Sign.","tobac_prod_pp","bloomberg_amount_pp","bloomberg_fctc_amount_pp","logPopulation","subscribed"
"BB",15,"BRB",2010,"America","Americas",0,0.00196792395697741,5.22955837920179,3.25846906785399,1,0,0.987638141603318,1,2,0.143067623237031,1.11669381803579,66,9,"Americas",1,4,71,10,<NA>,3,54,10,<NA>,<NA>,<NA>,<NA>,2005,2004,1,0,1,20040628,20051103,0,0,0,0,0,0,0,0,0,0,0,"Barbados",0,0,1,0,0,0,0,1,0,0,0,5,6,0,0,0,5.77727466135461,0
"BB",15,"BRB",2012,"America","Americas",0,0.00203912981337316,5.22269996487251,3.25846906785399,1,0,0.985294958196331,1,2,0.143067623237031,1.11669381803579,66,11,"Americas",1,4,71,10,<NA>,3,54,10,<NA>,<NA>,<NA>,<NA>,2005,2004,1,0,1,20040628,20051103,0,2,1,3,1,0,0,0,0,0,0,"Barbados",0,0,1,0,0,0,0,1,0,0,0,5,6,0,0,0,5.79367825884443,0
"BD",14,"BGD",2012,"Asia","South-East Asia",1,1.11377312021189,4.49701225947665,2.1723128154866,35,0.344297444563816,0.0407222800340727,1,9,0.204832812881333,3.85398618477841,70,11,"South-east Asia",1,3,54,6,86,6,87,10,<NA>,<NA>,<NA>,<NA>,2004,2003,<NA>,<NA>,0,20030616,20040614,0,4,5,5,7,11,6,2.37636988225546,2,0.487928857553311,0,"Bangladesh",0,1,0,0,0,0,0,0,0,0,1,6,7,0.382807463315924,0.0053713040990082,0.000558075689713683,8.70251373721746,32
"BD",14,"BGD",2010,"Asia","South-East Asia",1,1.07055111498119,4.46903548132511,2.1723128154866,25,0.222848755338497,0.0367561734036452,1,9,0.204832812881333,3.85398618477841,70,9,"South-east Asia",1,3,54,6,86,6,87,10,<NA>,<NA>,<NA>,<NA>,2004,2003,<NA>,<NA>,0,20030616,20040614,0,5,3,2,6,4,5,3.0551437624439,1,1.30676243244742,0,"Bangladesh",0,1,0,0,0,0,0,0,0,0,1,6,7,0.257778168714191,0.00718433668425607,0.00155497197158452,8.68424757380912,32
"BE",17,"BEL",2012,"Europe","European",0,0.0801209592125957,5.09482966855441,3.09554561446129,65,0.000604617027915342,2.58736491326091,1,2,2.29665849395671,2.49399525414646,294,11,"European",1,4,71,7,105,5,77,4,63,<NA>,<NA>,<NA>,2005,2004,0,1,1,20040122,20051101,0,4,2,4,8,7,0,0,0,0,0,"Belgium",1,0,0,0,0,1,0,0,0,0,0,5,6,0.00934496251135034,0,0,7.48785581632927,35
"BE",17,"BEL",2010,"Europe","European",0,0.0784472903972658,5.07990612803989,3.09554561446129,63,0.000806130706252817,2.59169026155581,1,2,2.29665849395671,2.49399525414646,294,9,"European",1,4,71,7,105,5,77,4,63,<NA>,<NA>,<NA>,2005,2004,0,0,0,20040122,20051101,0,4,2,2,8,7,0,0,0,0,0,"Belgium",1,0,0,0,0,1,0,0,0,0,0,5,6,0.0127253825250062,0,0,7.47811327490802,35
"BF",27,"BFA",2012,"Africa","African",0,0.118509447553062,5.31460031162886,1.62923453392699,8,0.0032245481559789,0.0338344495063711,1,1,0.83157642143033,1.50940589734093,6,11,"African",1,5,79,5,82,3,60,4,70,<NA>,<NA>,<NA>,2006,2003,<NA>,<NA>,0,20031222,20060731,0,7,2,5,10,6,0,0,0,0,0,"Burkina Faso",0,0,0,1,0,0,0,0,1,0,0,4,7,0.0336945160446551,0,0,7.66851286542644,1
"BF",27,"BFA",2010,"Africa","African",0,0.118571171294911,5.33122235790885,1.62923453392699,7,0.00300688903629866,0.0313950722491964,1,1,0.83157642143033,1.50940589734093,6,9,"African",1,5,79,5,82,3,60,4,70,<NA>,<NA>,<NA>,2006,2003,<NA>,<NA>,0,20031222,20060731,1,0,0,0,0,0,0,0,0,0,0,"Burkina Faso",0,0,0,1,0,0,0,0,1,0,0,4,7,0.0314037579250291,0,0,7.66875316834435,1
"BG",26,"BGR",2010,"Europe","European",0,0.054245247783425,5.25118022690809,2.90546804500192,14,0.165483974174998,0.313092690049519,1,2,2.80686959250822,3.95233896189582,105,9,"European",1,4,71,5,81,3,60,5,79,<NA>,<NA>,<NA>,2005,2003,<NA>,<NA>,1,20031222,20051107,0,5,5,2,6,11,0,0,0,0,0,"Bulgaria",1,0,0,0,0,1,0,0,0,0,0,5,7,3.77778792589094,0,0,7.30786014824227,5
"BG",26,"BGR",2012,"Europe","European",0,0.052600810088112,5.22842609284428,2.90546804500192,14,0.113101144390851,0.324809793801076,1,2,2.80686959250822,3.95233896189582,105,11,"European",1,4,71,5,81,3,60,5,79,<NA>,<NA>,<NA>,2005,2003,<NA>,<NA>,1,20031222,20051107,0,5,5,7,6,11,0,0,0,0,0,"Bulgaria",1,0,0,0,0,1,0,0,0,0,0,5,7,2.66267337754815,0,0,7.2936533551557,5
"BH",13,"BHR",2010,"Asia","Eastern Mediterranean",0,0.00908493850405766,2.16684241273533,0.814617266963497,3,0,1.1482140657684,0,1,0.843899843502435,2.85154205174285,43,9,"Eastern Med",1,6,87,9,130,5,73,10,<NA>,<NA>,<NA>,<NA>,2007,2007,<NA>,<NA>,0,<NA>,20070320,1,0,0,0,0,0,0,0,0,0,0,"Bahrain",0,1,0,0,0,0,1,0,0,0,0,3,3,0,0,0,6.48320480805751,0
"BH",13,"BHR",2012,"Asia","Eastern Mediterranean",0,0.00948806876809313,2.18498759946887,0.271539082513836,3,0,1.1532906043818,1,1,0.843899843502435,2.85154205174285,43,11,"Eastern Med",1,6,87,9,130,5,73,10,<NA>,<NA>,<NA>,<NA>,2007,2007,<NA>,<NA>,0,<NA>,20070320,0,3,4,5,3,7,0,0,0,0,0,"Bahrain",0,1,0,0,0,0,1,0,0,0,0,3,3,0,0,0,6.5032418787043,0
"BI",28,"BDI",2010,"Africa","African",0,0.0603546958626138,5.84197898223897,1.84646575332529,2,0.00523988797323755,0.0103505442775689,1,1,0.801313042925731,2.60773555246393,6,9,"African",1,4,71,5,75,4,68,10,<NA>,<NA>,<NA>,<NA>,2005,2003,<NA>,<NA>,0,20030616,20051122,0,0,0,0,0,0,0,0,0,0,0,"Burundi",0,0,0,1,0,0,0,0,1,0,0,5,7,0.107511337728516,0,0,7.35711311035917,0
"BI",28,"BDI",2012,"Africa","African",0,0.0709147619589509,5.75942464791426,1.84646575332529,2,0.00564296606907635,0.0105153611374877,1,1,0.801313042925731,2.60773555246393,6,11,"African",1,4,71,5,75,4,68,10,<NA>,<NA>,<NA>,<NA>,2005,2003,<NA>,<NA>,0,20030616,20051122,0,2,2,4,0,6,0,0,0,0,0,"Burundi",0,0,0,1,0,0,0,0,1,0,0,5,7,0.0985403541725924,0,0,7.43152550330895,0
"BJ",19,"BEN",2010,"Africa","African",0,0.0637173042335582,5.32798770788235,2.74254459160922,3,0.00189442615019699,0.0377871842237648,1,3,0.150968130280135,1.26215443772904,15,9,"African",1,4,71,3,58,3,49,5,73,<NA>,<NA>,<NA>,2005,2004,<NA>,<NA>,0,20040618,20051103,0,1,2,2,7,10,0,0,0,0,0,"Benin",0,0,0,1,0,0,0,0,1,0,0,5,6,0.036818290168414,0,0,7.38213451658745,0
"BJ",19,"BEN",2012,"Africa","African",0,0.072362875964456,5.26573897138732,2.74254459160922,4,6.0456640459434e-05,0.0389126547483588,1,3,0.150968130280135,1.26215443772904,15,11,"African",1,4,71,3,58,3,49,5,73,<NA>,<NA>,<NA>,2005,2004,<NA>,<NA>,0,20040618,20051103,0,1,2,2,7,10,0,0,0,0,0,"Benin",0,0,0,1,0,0,0,0,1,0,0,5,6,0.00103459772826708,0,0,7.4408546510314,0
"BN",25,"BRN",2010,"Asia","Western Pacific",1,0.00287213753623785,4.70351393174807,0.911473328372106,1,0,1.68839345469604,0,0,0.458679657133274,2.64803267706582,16,9,"Western Pac",1,3,54,7,108,10,<NA>,10,<NA>,<NA>,<NA>,<NA>,2004,2004,<NA>,<NA>,0,20040603,20040603,0,0,0,0,0,0,0,0,0,0,0,"Brunei Darussalam",0,1,0,0,0,0,0,0,0,1,0,6,6,0,0,0,5.95175783028033,0
"BN",25,"BRN",2012,"Asia","Western Pacific",1,0.00296802424963305,4.57316056623986,0.911473328372106,1,0,1.71296299453596,0,0,0.458679657133274,2.64803267706582,16,11,"Western Pac",1,3,54,7,108,10,<NA>,10,<NA>,<NA>,<NA>,<NA>,2004,2004,<NA>,<NA>,0,20040603,20040603,0,4,4,3,9,0,0,0,0,0,0,"Brunei Darussalam",0,1,0,0,0,0,0,0,0,1,0,6,6,0,0,0,5.96691351016857,0
"BO",21,"BOL",2010,"America","Americas",0,0.0714927605586931,5.02736685142727,2.47100560620533,1,0.00474816199374073,0.080815551451089,1,0,1.85820542910082,3.46665346668917,32,9,"Americas",1,4,69,4,72,2,42,5,73,<NA>,<NA>,<NA>,2005,2004,0,1,1,20040227,20050915,1,0,0,0,0,0,0,0,0,0,1,"Bolivia, Plurinational State of",0,0,1,0,0,0,0,1,0,0,0,5,6,0.0822444858553776,0,0,7.43527177336137,0
"BO",21,"BOL",2012,"America","Americas",0,0.0755709769867399,5.02686389105859,2.47100560620533,2,0.00596541816622894,0.0865036138681019,1,0,1.85820542910082,3.46665346668917,32,11,"Americas",1,4,69,4,72,2,42,5,73,<NA>,<NA>,<NA>,2005,2004,0,1,1,20040227,20050915,0,3,3,5,8,7,0,0,0,0,1,"Bolivia, Plurinational State of",0,0,1,0,0,0,0,1,0,0,0,5,6,0.0977527952644064,0,0,7.46087406693237,0
"BR",24,"BRA",2012,"America","Americas",0,1.43028027917748,4.90423373231233,2.82400631830557,70,3.267075099193,0.393460737273951,1,1,1.35242244745584,1.79971904398705,723,11,"Americas",1,4,71,4,66,3,54,10,<NA>,<NA>,<NA>,<NA>,2005,2003,0,0,0,20030616,20051103,0,6,3,5,10,7,1,0.174026735767727,0,0,0,"Brazil",0,0,1,0,0,0,0,1,0,0,0,5,7,2.82866356438087,0.000306307236629733,0,8.81794301988763,25
"BR",24,"BRA",2010,"America","Americas",0,1.40357233040225,4.8952885129213,2.82400631830557,67,3.17544526390954,0.385775571539237,1,1,1.35242244745584,1.79971904398705,723,9,"Americas",1,4,71,4,66,3,54,10,<NA>,<NA>,<NA>,<NA>,2005,2003,0,0,0,20030616,20051103,0,6,3,5,10,7,2,1.32220989141189,0,0,0,"Brazil",0,0,1,0,0,0,0,1,0,0,0,5,7,2.80164537410657,0.00237152680310586,0,8.80924382670129,25
"BS",12,"BHS",2010,"America","Americas",0,0.00246864008325635,5.41288242151456,3.25846906785399,0,0,1.45076397343095,1,0,0.801313042925731,2.60773555246393,1,9,"Americas",0,8,119,7,97,4,70,10,<NA>,<NA>,<NA>,<NA>,2009,2004,0,0,0,20040629,20091103,0,0,0,0,0,0,0,0,0,0,0,"Bahamas",0,0,1,0,0,0,0,1,0,0,0,1,6,0,0,0,5.88189157119983,0
